model,term,estimate,std.error,statistic,p.value,conf.low,conf.high
OLS: bivariate,(Intercept),-2.1309795918889876,0.3478331976910034,-6.126441081630273,4.761736940690437e-9,-2.81691273710734,-1.4450464466706354
OLS: bivariate,log_value,0.9952898591910966,0.05152135100113512,19.31800777446943,1.9645359679259723e-47,0.8936888545351187,1.0968908638470745
OLS: + capital control,(Intercept),-2.5945504945109708,0.2043412408817697,-12.697145634014028,2.2200277140287625e-27,-2.997527571390191,-2.1915734176317505
OLS: + capital control,log_value,0.773256744482059,0.04162603245237041,18.5762778464856,3.554846347215442e-45,0.6911669186233559,0.8553465703407622
OLS: + capital control,log_capital,0.3805334997400802,0.037652818656560644,10.106374856315728,1.3026859888353262e-19,0.306279165504813,0.45478783397534744
Firm FE,log_value,0.5918473071398042,0.12707657652068438,4.657406764837331,0.0011895810067599191,0.3043801193396638,0.8793144949399445
Firm FE,log_capital,0.255918016449478,0.06879687255392469,3.7199077072708953,0.0047713052495017005,0.100288678423502,0.411547354475454
Firm + Year FE,log_value,0.3285541349460119,0.18602325885396032,1.766199221377726,0.11117081865900501,-0.09225971251753906,0.7493679824095628
Firm + Year FE,log_capital,0.07679586059643473,0.05023231055261067,1.5288140193352802,0.1606626696402239,-0.03683752052405735,0.19042924171692682
Lagged covariates FE,lag_log_value,0.12519501407017217,0.21085671283112595,0.5937445025543968,0.5673042688889869,-0.35179600918484355,0.6021860373251879
Lagged covariates FE,lag_log_capital,0.03309619215399345,0.03620021181842911,0.9142541021581692,0.3844226705770667,-0.0487943763058782,0.1149867606138651
